専門教育科目　国際学部　国際学科,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門科目　5プログラム科目　国際ビジネスプログラム,マーケティング論Ⅰ,0,2,0,2年・前期,公共※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　国際ビジネスプログラム,マーケティング論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,多国籍企業論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,多国籍企業論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,財務管理論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,財務管理論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,経営史,0,2,0,2年・後期,【地域貢献特定プログラム】
専門科目　5プログラム科目　国際ビジネスプログラム,公会計論,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際会計論,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,経営組織論,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,International Business,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,Introdution to Management,0,2,0,2年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際貿易論,0,2,0,3年・前期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際金融論Ⅰ,0,2,0,3年・前期,公共※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　国際ビジネスプログラム,国際金融論Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,国際ビジネス法務Ⅰ,0,2,0,3年・前期,公共※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　国際ビジネスプログラム,国際ビジネス法務Ⅱ,0,2,0,3年・後期,なし
専門科目　5プログラム科目　国際ビジネスプログラム,テクノロジーマネジメント,0,2,0,3年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,言語・コミュニケーション研究入門A,0,1,0,1年・第3ターム(後期),なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,言語・コミュニケーション研究入門B,0,1,0,1年・第4ターム(後期),なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,フランスの文学と文化,0,2,0,2年・前期,多文化※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　言語・コミュニケーションプログラム,応用言語論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,応用言語論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,日本語学・日本語教育学Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,日本語学・日本語教育学Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,翻訳論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,翻訳論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,言語比較論Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,言語比較論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　言語・コミュニケーションプログラム,通訳技法論Ⅰ,0,2,0,2年・前期,なし
